State,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
GUJARAT,92.66%,7.34%,49.82%,50.18%,76.06%,23.94%,66.12%,33.88%,60.20%,39.80%,92.08%,7.92%,,,,,
HARYANA,92.29%,7.71%,0%,0%,94.34%,5.66%,69.12%,30.88%,75.98%,24.02%,78.70%,21.30%,,,,,
HIMACHAL PRADESH,98.67%,1.33%,99.70%,0.30%,97.68%,2.32%,97.25%,2.75%,95.72%,4.28%,88.87%,11.13%,,,,,
JAMMU & KASHMIR,94.71%,5.29%,81.56%,18.44%,86.92%,13.08%,64.89%,35.11%,77.91%,22.09%,83.21%,16.79%,,,,,
JHARKHAND,98.18%,1.82%,64.40%,35.60%,80.07%,19.93%,97.01%,2.99%,83.46%,16.54%,96.03%,3.97%,,,,,
KARNATAKA,94.24%,5.76%,46.53%,53.47%,68.84%,31.16%,48.18%,51.82%,42.63%,57.37%,85.46%,14.54%,,,,,
KERALA,99.40%,0.60%,54.13%,45.87%,51.31%,48.69%,97.73%,2.27%,94.38%,5.62%,95.77%,4.23%,,,,,
LADAKH,1.46%,98.54%,0%,0%,0%,0%,0%,100%,5.84%,94.16%,0%,100%,,,,,
MADHYA PRADESH,93.51%,6.49%,74.92%,25.08%,81.08%,18.92%,78.75%,21.25%,54.42%,45.58%,91.68%,8.32%,,,,,
MAHARASHTRA,95.67%,4.33%,56.13%,43.87%,42.91%,57.09%,38.59%,61.41%,47.54%,52.46%,86.59%,13.41%,,,,,
MANIPUR,100%,0%,100%,0%,95.78%,4.22%,98.80%,1.20%,98.48%,1.52%,99.66%,0.34%,,,,,
MEGHALAYA,90.15%,9.85%,36.10%,63.90%,53.13%,46.87%,92.34%,7.66%,62.55%,37.45%,87.41%,12.59%,,,,,
MIZORAM,99.87%,0.13%,81.91%,18.09%,82.81%,17.19%,91.96%,8.04%,93.52%,6.48%,91.20%,8.80%,,,,,
NAGALAND,88.79%,11.21%,89.19%,10.81%,56.91%,43.09%,72.91%,27.09%,81.75%,18.25%,73.65%,26.35%,,,,,
ODISHA,89.07%,10.93%,42.46%,57.54%,63.82%,36.18%,86.38%,13.62%,56.19%,43.81%,87.00%,13.00%,,,,,
PUDUCHERRY,98.27%,1.73%,0%,0%,0%,0%,98.60%,1.40%,87.13%,12.87%,99.57%,0.43%,,,,,
PUNJAB,97.71%,2.29%,13.83%,86.17%,86.73%,13.27%,83.88%,16.12%,91.42%,8.58%,51.76%,48.24%,,,,,
RAJASTHAN,96.72%,3.28%,94.96%,5.04%,92.78%,7.22%,50.50%,49.50%,44.01%,55.99%,94.79%,5.21%,,,,,
SIKKIM,99.13%,0.87%,83.96%,16.04%,92.21%,7.79%,94.49%,5.51%,97.05%,2.95%,77.05%,22.95%,,,,,
TAMIL NADU,97.13%,2.87%,53.85%,46.15%,63.61%,36.39%,61.31%,38.69%,58.40%,41.60%,71.46%,28.54%,,,,,
TELANGANA,86.74%,13.26%,63.23%,36.77%,85.27%,14.73%,59.41%,40.59%,57.61%,42.39%,77.62%,22.38%,,,,,
TRIPURA,97.17%,2.83%,77.56%,22.44%,95.61%,4.39%,84.76%,15.24%,59.65%,40.35%,99.20%,0.80%,,,,,
UTTAR PRADESH,95.55%,4.45%,68.66%,31.34%,66.13%,33.87%,75.99%,24.01%,67.23%,32.77%,91.85%,8.15%,,,,,
UTTARAKHAND,95.97%,4.03%,75.52%,24.48%,77.32%,22.68%,86.40%,13.60%,85.45%,14.55%,84.73%,15.27%,,,,,
WEST BENGAL,98.41%,1.59%,39.77%,60.23%,59.74%,40.26%,98.13%,1.87%,77.69%,22.31%,88.85%,11.15%,,,,,
